transaction_id,customer_id,transaction_date,online_order,order_status,goods_id
1,2950,2/25/17,False,Approved,1
2,3120,5/21/17,True,Approved,2
3,402,10/16/17,False,Approved,3
4,3135,8/31/17,False,Approved,4
5,787,10/1/17,True,Approved,5
6,2339,3/8/17,True,Approved,6
7,1542,4/21/17,True,Approved,7
8,2459,7/15/17,False,Approved,8
9,1305,8/10/17,False,Approved,9
10,3262,8/30/17,True,Approved,10
11,1986,1/17/17,False,Approved,11
12,2783,1/5/17,True,Approved,12
13,1243,2/26/17,True,Approved,13
14,2717,9/10/17,False,Approved,14
15,247,6/11/17,False,Approved,15
16,2961,10/10/17,False,Approved,2
17,2426,4/3/17,False,Approved,16
18,1842,6/2/17,False,Approved,17
19,2268,4/6/17,True,Approved,18
20,3002,1/28/17,True,Approved,6
21,1582,10/9/17,False,Approved,19
22,595,6/29/17,True,Approved,3
23,2001,4/8/17,True,Approved,3
24,515,10/18/17,False,Approved,20
25,2822,6/11/17,False,Approved,21
26,2596,1/10/17,False,Approved,22
27,2666,4/11/17,True,Approved,22
28,76,12/23/17,False,Approved,23
29,3368,10/13/17,True,Approved,24
30,1173,3/15/17,False,Approved,25
31,2810,9/5/17,True,Approved,4
32,3214,2/18/17,False,Approved,26
33,1272,3/20/17,False,Approved,6
34,2003,2/28/17,True,Approved,27
35,2171,8/20/17,False,Approved,28
36,3356,7/7/17,False,Approved,29
37,1040,1/9/17,False,Approved,30
38,2916,12/6/17,False,Approved,1
39,427,9/12/17,False,Approved,10
40,2448,11/28/17,True,Approved,28
41,2570,5/8/17,True,Approved,31
42,3398,5/14/17,False,Approved,32
43,488,3/17/17,False,Cancelled,33
44,165,12/22/17,False,Approved,34
45,2787,6/7/17,True,Approved,35
46,3053,6/20/17,False,Approved,36
47,475,5/7/17,True,Approved,13
48,1305,6/10/17,True,Approved,37
49,1251,6/17/17,False,Approved,38
50,3103,5/10/17,False,Approved,39
51,3108,3/24/17,False,Approved,40
52,857,11/27/17,False,Approved,41
53,3455,12/21/17,True,Approved,42
54,2549,2/9/17,True,Approved,19
55,3140,9/18/17,False,Approved,43
56,3406,11/14/17,False,Approved,44
57,2294,8/30/17,True,Approved,45
58,1031,11/14/17,False,Approved,46
59,993,2/15/17,True,Approved,47
60,3473,12/18/17,False,Approved,48
61,1839,2/24/17,False,Approved,49
62,1824,12/18/17,True,Approved,17
63,368,12/17/17,False,Approved,50
64,2000,7/8/17,False,Approved,51
65,825,5/16/17,True,Approved,52
66,3315,2/23/17,True,Approved,38
67,75,7/3/17,True,Approved,1
68,1498,9/30/17,True,Approved,53
69,1612,10/21/17,True,Approved,54
70,2192,5/6/17,True,Approved,19
71,419,1/3/17,False,Approved,18
72,3307,5/9/17,True,Approved,55
73,2430,7/23/17,False,Approved,7
74,1506,1/21/17,True,Approved,56
75,1346,6/20/17,False,Approved,57
76,927,3/10/17,False,Approved,7
77,763,6/2/17,False,Approved,58
78,2397,11/7/17,False,Approved,59
79,102,9/12/17,True,Approved,60
80,2884,12/16/17,False,Approved,61
81,759,10/7/17,True,Approved,62
82,773,4/27/17,True,Approved,63
83,3398,4/1/17,True,Approved,64
84,3297,11/2/17,True,Approved,17
85,2434,2/13/17,True,Approved,65
86,1861,7/19/17,False,Approved,26
87,1233,5/23/17,False,Approved,19
88,1390,8/6/17,False,Approved,66
89,2682,4/4/17,True,Approved,49
90,439,8/15/17,True,Approved,67
91,1579,4/15/17,True,Approved,68
92,2984,7/25/17,True,Approved,69
93,3470,11/28/17,True,Approved,17
94,1,12/23/17,False,Approved,38
95,757,2/26/17,False,Approved,70
96,1778,2/21/17,False,Approved,26
97,211,5/31/17,True,Approved,59
98,333,6/23/17,,Approved,71
99,32,3/26/17,False,Approved,72
100,119,7/31/17,False,Approved,73
101,2347,7/27/17,False,Approved,74
102,2353,4/14/17,False,Approved,53
103,788,11/12/17,False,Approved,17
104,1468,9/12/17,False,Approved,5
105,821,10/26/17,False,Approved,21
106,2489,2/15/17,False,Approved,75
107,2710,12/22/17,False,Approved,16
108,947,10/11/17,True,Approved,76
109,1335,3/27/17,True,Approved,77
110,1076,11/4/17,False,Approved,78
111,3320,6/11/17,True,Approved,79
112,779,10/9/17,False,Approved,62
113,3296,6/7/17,True,Approved,80
114,455,10/24/17,True,Approved,81
115,1779,5/1/17,False,Approved,33
116,2703,11/21/17,True,Approved,24
117,806,3/24/17,False,Approved,82
118,22,3/21/17,False,Approved,83
119,1591,2/20/17,False,Approved,22
120,678,6/16/17,False,Approved,84
121,50,12/4/17,False,Approved,6
122,1038,12/1/17,True,Approved,85
123,1453,3/5/17,True,Approved,66
124,1339,3/21/17,False,Approved,86
125,3382,1/3/17,True,Approved,87
126,773,4/1/17,False,Approved,88
127,2503,3/16/17,True,Approved,65
128,1057,2/26/17,False,Approved,6
129,1397,6/5/17,False,Approved,58
130,2134,9/4/17,False,Approved,31
131,2403,1/18/17,True,Approved,89
132,1937,9/28/17,False,Approved,10
133,1282,9/2/17,True,Approved,90
134,2183,5/9/17,False,Approved,5
135,1788,10/17/17,False,Approved,62
136,1170,4/25/17,True,Approved,91
137,431,9/23/17,False,Approved,92
138,1940,8/2/17,False,Approved,93
139,2073,3/25/17,False,Cancelled,94
140,462,1/1/17,False,Approved,95
141,2728,12/22/17,False,Approved,96
142,2053,12/25/17,False,Approved,34
143,2135,1/26/17,True,Approved,48
144,1217,12/20/17,False,Approved,97
145,2992,6/7/17,True,Approved,98
146,3261,4/6/17,True,Approved,99
147,2748,4/25/17,True,Approved,100
148,3262,1/13/17,False,Approved,101
149,788,3/21/17,False,Approved,21
150,3067,11/21/17,True,Approved,102
151,701,11/11/17,False,Approved,103
152,648,10/16/17,False,Approved,29
153,3286,8/19/17,True,Approved,3
154,3383,4/6/17,True,Approved,2
155,982,11/4/17,True,Approved,104
156,676,8/22/17,True,Approved,30
157,385,9/15/17,True,Approved,105
158,1229,3/1/17,True,Approved,58
159,3232,8/16/17,False,Approved,106
160,3300,8/27/17,False,Approved,107
161,2381,7/10/17,False,Approved,108
162,371,12/11/17,False,Approved,5
163,2519,5/20/17,True,Approved,59
164,2264,7/30/17,False,Approved,68
165,2637,10/25/17,True,Approved,2
166,3262,11/27/17,False,Approved,5
167,3177,4/26/17,,Approved,109
168,2267,2/2/17,False,Approved,60
169,456,5/2/17,False,Approved,110
170,404,10/16/17,,Approved,42
171,3121,10/22/17,False,Approved,111
172,2365,4/11/17,True,Approved,35
173,2528,11/16/17,False,Approved,111
174,3151,12/17/17,False,Approved,106
175,3241,12/23/17,False,Approved,6
176,1335,3/30/17,True,Approved,112
177,2234,4/13/17,False,Approved,109
178,3226,7/25/17,True,Approved,56
179,1365,1/31/17,False,Approved,67
180,3349,3/18/17,True,Approved,83
181,1002,2/24/17,False,Approved,68
182,2282,2/18/17,False,Approved,14
183,2656,1/7/17,False,Approved,34
184,2409,7/5/17,True,Approved,113
185,1711,11/19/17,False,Approved,25
186,2582,11/8/17,True,Approved,68
187,1005,7/24/17,True,Approved,114
188,1597,1/15/17,True,Approved,2
189,2713,1/12/17,True,Approved,56
190,1435,11/27/17,True,Approved,3
191,1477,6/30/17,True,Approved,115
192,1614,7/15/17,True,Approved,116
193,1254,6/22/17,True,Approved,10
194,1423,5/2/17,False,Approved,6
195,276,12/27/17,False,Approved,117
196,1315,12/21/17,True,Approved,118
197,591,5/23/17,True,Approved,70
198,1017,2/2/17,False,Approved,119
199,2123,6/8/17,False,Approved,17
200,2889,4/15/17,True,Approved,120
201,3208,9/5/17,True,Approved,121
202,2406,2/26/17,True,Approved,122
203,2041,7/29/17,False,Approved,100
204,1598,7/3/17,True,Approved,117
205,1842,5/27/17,True,Approved,57
206,141,5/5/17,False,Approved,123
207,1321,9/9/17,False,Approved,45
208,183,5/21/17,False,Approved,124
209,2591,9/22/17,False,Approved,125
210,3356,4/12/17,True,Approved,126
211,766,5/7/17,True,Approved,127
212,1596,1/13/17,False,Approved,128
213,520,12/14/17,False,Approved,129
214,868,3/22/17,True,Approved,34
215,2999,9/30/17,False,Approved,5
216,352,11/29/17,True,Approved,24
